,mae,mape,smape,nrmse,nmae,cpc
0,0.1050732433795929,6.139480113983154,0.7961537837982178,0.1615044208247258,0.1050732433795929,0.7155695153984731
1,0.094765156507492,4.98898458480835,0.7999595999717712,0.1363980361467712,0.094765156507492,0.73701195160388
2,0.0943466499447822,4.204980850219727,0.7960876226425171,0.1397946375605859,0.0943466499447822,0.7306188181408385
3,0.1078442186117172,7.5984272956848145,0.8702852129936218,0.1451109639802342,0.1078442186117172,0.7072769083713084
4,0.1069984138011932,6.284765720367432,0.8543081283569336,0.1554694364545366,0.1069984138011932,0.7044598362824311
5,0.099328227341175,5.16896915435791,0.7912576198577881,0.1426883999046641,0.099328227341175,0.7316100374356539
6,0.0993391498923301,6.378573894500732,0.8029394149780273,0.1512693110801995,0.0993391498923301,0.7237999279791999
7,0.0922266542911529,5.07181978225708,0.7900797724723816,0.137315085936558,0.0922266542911529,0.7373764375152144
8,0.0984854772686958,5.483274936676025,0.8050098419189453,0.1454096398490391,0.0984854772686958,0.7263629072623703
9,0.0948724150657653,4.8490753173828125,0.8031147718429565,0.1447371555516942,0.0948724150657653,0.7292345573863913
10,0.0966810062527656,4.684679985046387,0.8258553743362427,0.1500348380334398,0.0966810062527656,0.722125788952593
11,0.103408508002758,5.183512210845947,0.8004351258277893,0.1549870710831324,0.103408508002758,0.7236134743070823
12,0.0935791432857513,6.808557033538818,0.787781298160553,0.1404250367660514,0.0935791432857513,0.732745468702775
13,0.1031941697001457,5.04412841796875,0.8102872371673584,0.1528363056011707,0.1031941697001457,0.7151249664471846
14,0.10467479377985,6.684988975524902,0.8237534761428833,0.1678035369957397,0.10467479377985,0.7043414299494938
15,0.0982521101832389,5.354362964630127,0.7940226793289185,0.149852097201644,0.0982521101832389,0.7277842043731236
16,0.100581370294094,4.612703800201416,0.8182705044746399,0.1522414521315809,0.100581370294094,0.7177855874866206
17,0.0994112640619278,5.143962860107422,0.8428889513015747,0.1463491808551099,0.0994112640619278,0.7176224047897841
18,0.0958118587732315,5.231712341308594,0.7728442549705505,0.1514753715194412,0.0958118587732315,0.7266900563502277
19,0.0941608399152755,6.109333515167236,0.7821390628814697,0.1396417121207647,0.0941608399152755,0.7295437154181605
20,0.0959588512778282,4.348307132720947,0.7810266017913818,0.13987600007775,0.0959588512778282,0.7365252646627409
21,0.1031354889273643,4.423156261444092,0.8191266059875488,0.151221667137188,0.1031354889273643,0.7252523378217794
22,0.1002052128314971,5.763291835784912,0.8718259334564209,0.1469521141294895,0.1002052128314971,0.7089561720247343
23,0.1000376120209693,6.103917598724365,0.8140650391578674,0.1517252218659417,0.1000376120209693,0.7221968775732166
24,0.0981026291847229,4.71308183670044,0.7998268008232117,0.1462033575207609,0.0981026291847229,0.7250894272429255
mean,0.09921897858381268,5.455121936798096,0.8101337885856629,0.1480528820131285,0.09921897858381268,0.7231487229391281
std,0.004249044511750713,0.8440828253485319,0.025617612781287602,0.007335865565281612,0.004249044511750713,0.009515418586449016
